Country,Region,GDP_Per_Capita,Social_Support,Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Population,Happiness_Score,Happiness_Rank
Bhutan,North America,2.441,0.949,81.3,0.796,0.535,0.004,24.0,882880233.0,8.0,23.0
Norway,Asia,2.18,0.804,70.8,0.885,0.433,0.806,24.6,498134966.0,8.0,24.0
Finland,South America,2.356,0.876,64.8,0.768,0.285,0.255,21.7,75279589.0,8.0,25.0
Germany,North America,2.061,0.928,82.1,0.693,0.638,0.5,8.0,901214185.0,8.0,26.0
Australia,North America,2.484,0.98,52.2,0.999,0.765,0.129,14.1,781581568.0,8.0,27.0
Germany,Europe,2.192,0.851,80.6,0.235,0.012,0.567,3.0,726231249.0,8.0,28.0
China,Asia,2.303,0.983,70.0,0.865,0.337,0.621,7.7,545249854.0,8.0,29.0
Italy,North America,2.499,0.812,66.3,0.776,0.511,0.57,3.4,,8.0,30.0
Denmark,South America,2.072,0.599,72.3,0.716,0.692,0.547,23.9,255636266.0,8.0,31.0
Australia,Europe,2.106,0.884,70.5,0.285,0.11,0.132,11.4,1221588589.0,8.0,32.0
Italy,North America,2.257,0.69,73.4,0.823,0.251,0.416,18.5,114405648.0,8.0,33.0
Sweden,Asia,2.288,0.759,81.2,0.209,0.488,0.046,4.0,1051279930.0,8.0,34.0
Norway,Oceania,1.519,0.967,72.0,0.938,0.321,0.195,11.2,137936043.0,8.0,35.0
Norway,Oceania,1.823,0.866,81.2,0.295,0.638,0.117,4.7,120405171.0,8.0,36.0
Nepal,Europe,1.525,0.73,78.7,0.871,0.118,0.828,8.7,756301789.0,8.0,37.0
China,Oceania,2.22,0.537,71.2,0.935,0.541,0.623,23.7,254879421.0,8.0,38.0
Bhutan,Europe,2.243,0.977,77.9,0.674,0.184,0.588,4.4,975971791.0,8.0,39.0
Spain,Europe,2.254,0.739,79.6,0.741,0.776,0.737,20.6,386786324.0,8.0,40.0
China,South America,2.342,0.836,76.9,0.684,0.711,0.389,10.5,123723210.0,8.0,41.0
USA,South America,2.49,0.761,70.4,0.504,0.648,0.336,17.8,960047098.0,8.0,42.0
Finland,South America,2.231,0.916,76.3,0.716,0.796,0.801,5.6,1390608760.0,8.0,43.0
France,Europe,1.861,0.803,81.4,0.83,0.785,0.294,14.9,392962508.0,8.0,44.0
Italy,Oceania,1.594,0.865,74.4,0.979,0.346,0.743,23.4,857599382.0,8.0,45.0
Nepal,Oceania,2.359,0.919,64.7,0.702,0.079,0.437,13.3,15038851.0,8.0,46.0
Brazil,Europe,2.455,0.768,63.0,0.946,0.272,0.069,2.1,761020695.0,8.0,47.0
Germany,South America,1.776,0.509,84.0,0.65,0.051,0.195,22.3,1165111306.0,8.0,48.0
China,South America,2.031,0.986,61.5,0.859,0.78,0.588,21.6,321721055.0,8.0,49.0
Bhutan,Asia,2.156,0.769,65.9,0.947,0.538,0.145,9.4,676361739.0,8.0,50.0
India,Oceania,1.843,0.955,73.4,0.929,0.362,0.767,4.9,1397388047.0,8.0,51.0
Germany,Europe,2.254,0.785,81.0,0.626,0.538,0.169,8.1,957056598.0,8.0,52.0
France,South America,2.145,0.462,76.8,0.806,0.314,0.195,21.5,1309361111.0,8.0,53.0
UAE,Oceania,2.149,0.897,75.8,0.841,0.224,0.188,11.8,117403876.0,8.0,54.0
Singapore,North America,2.481,0.893,73.4,0.792,0.184,0.513,21.6,103691413.0,8.0,55.0
Germany,South America,1.696,0.726,83.9,0.602,0.748,0.329,3.6,1237384037.0,8.0,56.0
USA,South America,2.297,0.726,80.1,0.985,0.491,0.448,5.5,558126071.0,8.0,57.0
Brazil,North America,2.084,0.469,82.0,0.582,0.244,0.058,,338957718.0,8.0,58.0
Finland,North America,2.266,0.93,68.1,0.59,0.234,0.891,3.1,220267732.0,8.0,59.0
Germany,Asia,2.231,0.704,81.1,0.26,0.665,0.38,17.0,1049644403.0,8.0,60.0
USA,South America,2.288,0.87,81.0,0.9,0.575,0.761,11.0,281472354.0,8.0,61.0
Bhutan,North America,2.146,0.953,78.8,0.799,0.713,0.199,21.5,1322498262.0,8.0,62.0
Japan,Europe,2.327,0.334,82.6,0.864,0.088,0.393,23.0,368557181.0,8.0,63.0
Denmark,Oceania,2.109,0.861,78.5,0.363,0.247,0.822,16.4,632402497.0,8.0,64.0
Japan,North America,2.066,0.635,68.1,0.628,0.151,0.107,10.9,1201993328.0,8.0,65.0
India,North America,2.322,0.965,83.8,0.297,0.481,0.254,,452345543.0,8.0,66.0
Spain,North America,2.279,0.851,73.9,0.954,0.656,0.285,14.1,764954315.0,8.0,67.0
Spain,South America,1.906,0.685,71.9,0.862,0.633,0.255,16.8,911108247.0,8.0,68.0
Singapore,Europe,2.473,0.631,84.4,0.711,0.134,0.671,8.9,224133097.0,8.0,69.0
Finland,Asia,2.027,0.774,69.4,0.635,0.495,0.44,7.3,556744704.0,8.0,70.0
China,Europe,2.457,0.731,71.0,0.825,0.557,0.66,22.9,15482330.0,8.0,71.0
USA,North America,2.023,0.98,72.6,0.798,0.603,0.314,14.0,393892373.0,8.0,72.0
Canada,Oceania,2.453,0.496,83.5,0.21,0.386,0.205,22.6,840699552.0,8.0,73.0
UK,North America,2.198,0.845,79.4,0.428,0.339,0.709,14.8,293423870.0,8.0,74.0
UK,Europe,2.041,0.81,76.5,0.945,0.389,0.703,4.7,617741548.0,8.0,75.0
UAE,Oceania,2.496,0.714,81.7,0.581,0.714,0.609,17.0,246747588.0,8.0,76.0
Spain,Europe,2.032,0.979,79.2,0.322,0.149,0.77,6.7,844172136.0,8.0,77.0
USA,Europe,1.975,0.859,59.6,0.898,0.255,0.179,17.5,205403417.0,8.0,78.0
Japan,North America,2.281,0.746,68.1,0.592,0.041,0.329,3.3,102320580.0,8.0,79.0
Australia,North America,,,,,0.724,0.344,3.9,1277613554.0,,80.0
Canada,Oceania,1.754,0.934,83.2,0.539,0.436,0.245,24.4,443457430.0,8.0,81.0
Sweden,South America,2.363,0.316,84.3,0.578,0.171,0.013,8.9,843821018.0,8.0,82.0
Bhutan,Oceania,1.765,0.792,80.7,0.388,0.237,0.078,23.1,1113502176.0,8.0,83.0
Japan,Europe,2.157,0.935,80.5,0.303,0.643,0.872,3.1,1165371014.0,8.0,84.0
UAE,Europe,2.483,0.777,77.1,0.844,0.377,0.687,5.2,1125266437.0,8.0,85.0
Brazil,Asia,2.188,0.862,72.6,0.763,0.087,0.398,10.7,371481989.0,8.0,86.0
Sweden,Europe,2.172,0.617,70.8,0.63,0.722,0.181,23.5,1043695142.0,8.0,87.0
Norway,Oceania,1.969,0.653,74.8,0.877,0.458,0.698,17.6,452285576.0,8.0,88.0
Denmark,South America,2.24,0.796,79.6,0.224,0.386,0.523,,,8.0,89.0
Sweden,North America,2.369,0.472,74.9,0.251,0.676,0.375,8.2,408096076.0,8.0,90.0
Denmark,Asia,2.352,0.897,63.3,0.652,0.099,0.847,9.4,388298648.0,8.0,91.0
UAE,Oceania,1.953,0.693,80.5,0.684,0.429,0.456,18.2,1034893520.0,8.0,92.0
USA,Asia,1.932,0.675,79.9,0.855,0.434,0.846,15.0,452834644.0,8.0,93.0
Nepal,Asia,1.977,0.769,82.5,0.282,0.099,0.351,22.2,856252088.0,8.0,94.0
Brazil,South America,2.319,0.735,73.3,0.791,0.619,0.526,16.8,1129831388.0,8.0,95.0
UK,Asia,1.589,0.753,84.4,0.882,0.15,0.673,19.4,470343449.0,8.0,
Denmark,South America,2.288,0.914,69.6,0.557,0.182,0.11,14.1,581840087.0,8.0,97.0
Brazil,North America,1.589,0.798,81.5,0.642,0.432,0.627,14.2,1193147990.0,8.0,98.0
China,South America,2.26,0.964,65.5,0.336,0.263,0.489,22.6,1391578242.0,8.0,99.0
China,South America,2.175,0.308,84.6,0.456,0.543,0.783,7.6,1316657565.0,8.0,100.0
Japan,Asia,2.359,0.948,63.5,0.592,0.798,0.051,20.2,530682375.0,8.0,101.0
Bhutan,Oceania,2.416,0.922,72.1,0.408,0.574,0.299,19.6,1182866372.0,8.0,102.0
Italy,Oceania,2.209,0.971,63.9,0.631,0.395,0.517,12.3,381580968.0,8.0,103.0
Nepal,Asia,2.41,0.934,73.2,0.588,0.35,0.233,12.6,1198700359.0,8.0,104.0
Norway,South America,2.455,0.985,77.8,0.886,0.238,0.128,16.5,1384363218.0,8.0,105.0
Italy,Asia,2.157,0.757,78.4,0.797,0.569,0.327,7.4,1177990688.0,8.0,106.0
Brazil,Oceania,2.184,0.734,80.1,0.765,0.193,0.175,18.2,911845103.0,8.0,107.0
Denmark,South America,2.346,0.872,74.7,0.477,0.34,0.61,3.9,1378489768.0,8.0,108.0
Spain,Europe,1.985,0.775,82.1,0.79,0.02,0.241,17.2,661106545.0,8.0,109.0
Nepal,Europe,1.964,0.778,70.7,0.691,0.696,0.103,22.2,110073502.0,8.0,110.0
Denmark,South America,2.13,0.866,80.2,0.902,0.129,0.114,2.9,28753455.0,8.0,111.0
Spain,North America,2.121,0.844,77.9,0.667,0.312,0.773,4.2,45581417.0,8.0,112.0
USA,Oceania,2.011,0.952,82.6,0.383,0.225,0.58,20.4,865314800.0,8.0,113.0
Japan,Oceania,2.159,0.711,83.8,0.632,0.326,0.119,7.8,112956607.0,8.0,114.0
Nepal,Europe,2.217,0.725,80.6,0.97,0.251,0.275,12.9,12748538.0,8.0,115.0
Norway,South America,2.12,0.731,76.5,0.418,0.42,0.37,11.0,994436595.0,8.0,116.0
UAE,North America,1.817,0.985,68.2,0.733,0.007,0.512,20.2,618533111.0,8.0,117.0
Japan,South America,2.073,0.666,69.0,0.862,0.163,0.585,21.4,1257667474.0,8.0,118.0
Sweden,Oceania,2.237,0.939,65.6,0.546,0.404,0.436,20.5,1029351818.0,8.0,119.0
Spain,Asia,2.257,0.618,68.3,0.766,0.46,0.122,17.3,408205745.0,8.0,120.0
Spain,South America,2.473,0.707,72.8,0.71,0.16,0.331,2.8,17760140.0,8.0,121.0
India,North America,1.618,0.769,83.2,0.717,0.015,0.755,18.6,950720729.0,8.0,122.0
USA,Europe,2.17,0.394,77.4,0.566,0.396,0.408,10.5,1038794038.0,8.0,123.0
UK,South America,1.688,0.936,83.3,0.916,0.718,0.748,8.2,418173020.0,8.0,124.0
India,Asia,2.462,0.384,75.1,0.621,0.12,0.378,17.7,769346665.0,8.0,125.0
Germany,North America,2.226,0.735,67.7,0.349,0.029,0.051,13.9,1353282467.0,8.0,126.0
Singapore,Oceania,1.892,0.896,84.7,0.429,0.176,0.148,16.5,246671968.0,8.0,127.0
Norway,North America,2.48,0.862,67.5,0.923,0.205,0.661,7.5,1365017101.0,8.0,128.0
Spain,Oceania,2.46,0.896,59.9,0.271,0.376,0.189,3.5,1023376303.0,8.0,129.0
Italy,South America,2.222,0.881,75.3,0.431,0.643,0.167,2.4,209668284.0,8.0,130.0
UAE,Asia,1.159,0.964,81.4,0.977,0.265,0.225,2.5,312877245.0,8.0,131.0
Japan,South America,2.436,0.521,72.7,0.833,0.714,0.316,20.6,614853581.0,8.0,132.0
China,Asia,2.055,0.789,80.9,0.726,0.465,0.463,18.5,1163099086.0,8.0,133.0
France,Asia,2.014,0.705,75.8,0.421,0.713,0.765,20.4,401386495.0,8.0,134.0
Australia,South America,2.431,0.397,78.0,0.35,0.77,0.454,13.4,94978901.0,8.0,135.0
Italy,North America,2.454,0.447,81.2,0.878,0.324,0.543,13.5,1112344585.0,8.0,136.0
Japan,Europe,2.432,0.929,69.1,0.55,0.091,0.804,9.0,1089723885.0,8.0,137.0
Bhutan,South America,2.196,0.986,76.0,0.881,0.626,0.838,23.8,620025894.0,8.0,138.0
Sweden,South America,2.0,0.934,74.2,0.749,0.571,0.814,12.8,394144084.0,8.0,139.0
China,Asia,2.076,0.759,63.4,0.94,0.368,0.223,11.0,123361805.0,8.0,140.0
UAE,South America,2.393,0.941,80.3,0.554,0.445,0.437,19.3,22290871.0,8.0,141.0
USA,Europe,2.069,0.772,77.9,0.791,0.288,0.816,23.6,1105962940.0,8.0,142.0
UK,Asia,2.401,0.946,68.4,0.961,0.11,0.667,8.1,43395867.0,8.0,143.0
Finland,Asia,2.324,0.996,62.8,0.996,0.547,0.374,20.7,973622153.0,8.0,144.0
Nepal,Asia,2.124,0.55,69.6,0.973,0.649,0.576,13.3,117587922.0,8.0,145.0
Japan,Europe,2.138,0.594,84.0,0.5,0.203,0.327,20.0,1022520655.0,8.0,146.0
Nepal,Asia,1.642,0.924,69.2,0.903,0.664,0.292,8.9,951314565.0,8.0,147.0
Finland,Europe,2.19,0.719,73.4,0.874,0.238,0.254,14.0,713234879.0,8.0,148.0
Canada,Europe,2.26,0.611,77.9,0.679,0.514,0.467,9.4,340009843.0,8.0,149.0
Sweden,Asia,1.976,0.778,81.7,0.667,0.379,0.138,6.5,368084596.0,8.0,150.0
India,Europe,2.09,0.891,78.3,0.808,0.491,0.284,3.4,507059882.0,8.0,151.0
Sweden,Asia,1.866,0.633,81.3,0.587,0.06,0.638,5.8,98397646.0,8.0,152.0
Italy,Asia,2.027,0.901,84.5,0.886,0.068,0.402,8.3,450897564.0,8.0,153.0
Sweden,Europe,2.425,0.763,84.9,0.889,0.516,0.791,16.5,390566199.0,8.0,154.0
Italy,South America,2.299,0.355,77.9,0.966,0.584,0.348,16.7,249189862.0,8.0,155.0
Nepal,North America,2.374,0.759,71.8,0.587,0.35,0.678,8.7,455769404.0,8.0,156.0
India,Oceania,2.258,0.588,79.0,0.366,0.42,0.444,10.4,369558700.0,8.0,157.0
Finland,North America,2.285,0.764,78.2,0.6,0.705,0.055,10.1,347609171.0,8.0,158.0
USA,Oceania,2.249,0.864,79.5,0.935,0.114,0.012,6.2,1025721447.0,8.0,159.0
Sweden,Oceania,1.782,0.982,81.3,0.533,0.272,0.772,14.8,361722457.0,8.0,160.0
USA,North America,2.384,0.782,61.8,0.924,0.535,0.713,4.7,159604728.0,8.0,161.0
UK,Oceania,2.255,0.98,73.7,0.971,0.211,0.34,15.7,852293567.0,8.0,162.0
Australia,North America,2.442,0.923,58.9,0.9,0.412,0.19,22.5,724910437.0,8.0,163.0
Japan,South America,2.484,0.772,81.0,0.23,0.073,0.384,21.3,296661709.0,8.0,164.0
USA,Asia,2.312,0.969,77.5,0.493,0.117,0.324,3.3,1119522669.0,8.0,165.0
China,Asia,2.026,0.706,83.1,0.716,0.73,0.442,2.8,380675481.0,8.0,166.0
Bhutan,Europe,2.243,0.761,80.3,0.687,0.424,0.622,7.9,1097615692.0,8.0,167.0
UK,South America,2.28,0.789,75.4,0.81,0.473,0.662,23.2,416855603.0,8.0,168.0
USA,Europe,2.196,0.573,72.9,0.963,0.293,0.86,19.4,8951695.0,8.0,169.0
France,Asia,2.232,0.607,73.2,0.936,0.167,0.029,24.8,351515739.0,8.0,170.0
Denmark,Oceania,2.208,0.872,78.6,0.651,0.488,0.32,22.7,664519637.0,8.0,171.0
Australia,North America,2.179,0.683,72.6,0.338,0.427,0.137,23.9,683438872.0,8.0,172.0
Australia,South America,1.93,0.357,83.5,0.925,0.041,0.703,12.9,422550732.0,8.0,173.0
UAE,North America,1.428,0.996,82.5,0.662,0.455,0.598,15.0,1073651053.0,8.0,174.0
Denmark,Asia,1.697,0.836,83.0,0.301,0.697,0.351,11.3,451499598.0,8.0,175.0
UAE,North America,1.833,0.87,81.7,0.664,0.622,0.132,21.7,461177351.0,8.0,176.0
UK,South America,2.207,0.962,80.8,0.227,0.413,0.327,16.5,242977429.0,8.0,177.0
India,North America,2.398,0.585,74.8,0.422,0.678,0.646,3.6,836329972.0,8.0,178.0
Brazil,Europe,2.48,0.612,79.1,0.559,0.268,0.223,18.8,510291309.0,8.0,179.0
Singapore,Europe,2.488,0.336,83.4,0.885,0.341,0.619,12.1,1181073490.0,8.0,180.0
Canada,Asia,2.164,0.654,80.9,0.464,0.714,0.609,9.1,1223774975.0,8.0,181.0
Denmark,North America,2.497,0.943,60.6,0.539,0.257,0.432,10.6,641543783.0,8.0,182.0
China,North America,1.548,0.997,81.5,0.694,0.697,0.229,2.9,1275214292.0,8.0,183.0
UAE,Asia,2.323,0.637,77.6,0.919,0.086,0.089,13.9,924609222.0,8.0,184.0
France,Europe,1.641,0.628,84.8,0.946,0.357,0.128,6.6,84536861.0,8.0,185.0
France,South America,2.271,0.831,84.5,0.511,0.252,0.553,7.7,1141550627.0,8.0,186.0
Brazil,Oceania,1.763,0.935,72.4,0.314,0.095,0.625,16.5,704506832.0,8.0,187.0
Brazil,Asia,2.055,0.841,75.4,0.753,0.048,0.38,24.8,958922983.0,8.0,188.0
Denmark,Europe,2.45,0.851,63.1,0.744,0.372,0.412,11.4,722041724.0,8.0,189.0
France,Europe,2.153,0.795,59.5,0.976,0.592,0.104,13.9,153260328.0,8.0,190.0
UAE,South America,2.4,0.414,80.2,0.62,0.037,0.147,9.0,852269447.0,8.0,191.0
Norway,Asia,2.424,0.713,83.3,0.994,0.002,0.384,14.1,922524802.0,8.0,192.0
Brazil,South America,2.073,0.701,76.4,0.256,0.005,0.659,9.9,994301282.0,8.0,193.0
USA,Asia,1.926,0.856,81.5,0.29,0.623,0.124,22.0,726843813.0,8.0,194.0
India,North America,2.391,0.924,62.8,0.266,0.12,0.196,3.5,329642644.0,8.0,195.0
USA,Asia,2.396,0.722,79.2,0.416,0.421,0.521,24.6,300138299.0,8.0,196.0
Brazil,Europe,2.414,0.829,67.3,0.944,0.18,0.872,9.9,1123602457.0,8.0,197.0
Brazil,Asia,2.275,0.554,79.5,0.661,0.333,0.443,6.3,254930421.0,8.0,198.0
France,Asia,2.32,0.302,82.8,0.762,0.661,0.622,17.6,732471576.0,8.0,199.0
Australia,Oceania,2.493,0.453,80.0,0.515,0.23,0.486,14.4,537939812.0,8.0,200.0
France,Oceania,,,,,0.575,0.067,15.3,1113657222.0,,201.0
Brazil,Asia,1.692,0.722,75.1,0.885,0.27,0.607,6.0,261446889.0,8.0,202.0
Canada,North America,2.334,0.812,69.2,0.595,0.393,0.565,8.7,1344512346.0,8.0,
USA,Europe,2.316,0.997,77.3,0.99,0.026,0.509,2.3,51201502.0,8.0,204.0
Brazil,Oceania,1.83,0.825,72.0,0.777,0.093,0.787,19.8,271372387.0,8.0,205.0
UAE,South America,2.177,0.517,81.4,0.968,0.096,0.75,4.2,870353286.0,8.0,206.0
Denmark,South America,1.692,0.837,79.8,0.615,0.682,0.448,16.5,977525442.0,8.0,207.0
Germany,Europe,2.242,0.912,73.0,0.567,0.141,0.509,3.5,505210632.0,8.0,208.0
Singapore,Oceania,2.415,0.97,70.6,0.331,0.571,0.126,22.2,1380030430.0,8.0,209.0
Norway,Asia,2.297,0.664,77.0,0.9,0.783,0.393,24.8,718889588.0,8.0,210.0
UK,Europe,2.024,0.999,78.8,0.393,0.19,0.525,18.8,1198535410.0,8.0,211.0
UK,South America,2.429,0.433,81.8,0.429,0.012,0.046,23.7,868725707.0,8.0,212.0
Bhutan,South America,2.212,0.934,83.2,0.46,0.638,0.683,24.0,307095860.0,8.0,213.0
Sweden,South America,1.742,0.765,80.5,0.671,0.486,0.507,20.8,645278101.0,8.0,214.0
Italy,Asia,1.961,0.905,66.1,0.711,0.389,0.454,10.1,498899176.0,8.0,215.0
France,North America,2.484,0.998,79.1,0.485,0.169,0.085,20.7,177373277.0,8.0,216.0
UAE,Europe,2.227,0.828,77.0,0.666,0.288,0.579,8.1,153016112.0,8.0,217.0
Bhutan,South America,2.093,0.688,77.1,0.611,0.416,0.497,3.8,1270348826.0,8.0,218.0
Canada,North America,2.342,0.574,65.9,0.956,0.645,0.506,9.7,433902862.0,8.0,219.0
Germany,North America,1.833,0.744,77.0,0.677,0.637,0.771,3.5,1136801768.0,8.0,220.0
Nepal,North America,2.118,0.651,84.6,0.533,0.033,0.488,6.9,1059215392.0,8.0,221.0
Italy,Europe,2.206,0.618,82.4,0.866,0.722,0.161,8.3,928014434.0,8.0,222.0
Denmark,South America,2.367,0.878,75.6,0.83,0.65,0.598,17.5,754801129.0,8.0,223.0
Australia,Asia,2.115,0.911,58.3,0.929,0.355,0.224,8.0,428453424.0,8.0,224.0
Germany,Asia,2.019,0.356,77.6,0.981,0.049,0.409,24.9,485117360.0,8.0,225.0
UAE,North America,1.621,0.824,73.9,0.864,0.479,0.024,12.6,669973478.0,8.0,226.0
Bhutan,South America,2.164,0.948,81.2,0.618,0.261,0.639,24.5,688360342.0,8.0,227.0
Canada,Oceania,2.417,0.899,82.1,0.979,0.324,0.438,11.4,604059285.0,8.0,228.0
Italy,North America,2.34,0.893,81.8,0.722,0.677,0.088,5.0,77034550.0,8.0,229.0
Japan,North America,2.456,0.9,58.1,0.687,0.386,0.195,14.5,1124723300.0,8.0,230.0
Germany,Oceania,1.839,0.755,83.9,0.774,0.457,0.375,10.3,816549544.0,8.0,231.0
UK,Europe,2.444,0.57,66.1,0.663,0.24,0.291,18.8,1110240383.0,8.0,232.0
Denmark,Asia,2.235,0.7,70.9,0.676,0.594,0.009,3.7,775729848.0,8.0,233.0
UK,South America,2.049,0.591,80.6,0.491,0.523,0.148,22.2,1234751319.0,8.0,234.0
UK,Asia,2.296,0.742,72.8,0.484,0.705,0.055,4.2,1321512169.0,8.0,235.0
Germany,Oceania,2.358,0.816,62.3,0.788,0.753,0.707,2.6,739791846.0,8.0,236.0
Denmark,Asia,2.341,0.96,71.0,0.214,0.273,0.366,2.2,904151139.0,8.0,237.0
Japan,North America,1.982,0.925,70.8,0.506,0.339,0.744,24.4,983871670.0,8.0,238.0
Bhutan,Oceania,2.01,0.921,79.8,0.767,0.711,0.438,20.4,785632472.0,8.0,239.0
Canada,South America,1.779,0.941,75.9,0.983,0.562,0.411,13.3,859013148.0,8.0,240.0
Australia,Europe,1.77,0.842,79.3,0.597,0.219,0.453,2.3,406232480.0,8.0,241.0
UK,North America,2.36,0.968,80.9,0.36,0.464,0.725,7.7,1254034898.0,8.0,242.0
Singapore,Europe,1.926,0.778,73.0,0.982,0.206,0.83,16.0,361971548.0,8.0,243.0
Norway,North America,1.784,0.746,78.0,0.971,0.304,0.429,10.6,169750699.0,8.0,244.0
Spain,South America,2.398,0.875,85.0,0.858,0.414,0.261,13.0,544636095.0,8.0,245.0
USA,Europe,2.263,0.912,82.5,0.244,0.758,0.341,2.5,,8.0,246.0
Finland,Europe,2.35,0.821,73.0,0.814,0.673,0.824,9.2,1229130327.0,8.0,247.0
Australia,Asia,1.866,0.666,75.9,0.893,0.267,0.088,18.1,803749538.0,8.0,248.0
Denmark,North America,2.169,0.691,71.2,0.735,0.593,0.499,17.4,1330777223.0,8.0,249.0
Denmark,Oceania,2.168,0.803,76.9,0.879,0.06,0.433,14.5,1283944767.0,8.0,250.0
China,Europe,2.055,0.869,78.5,0.523,0.685,0.415,15.7,786331384.0,8.0,251.0
Sweden,North America,2.428,0.723,75.6,0.431,0.67,0.055,17.9,586784008.0,8.0,252.0
Sweden,North America,1.872,0.393,79.4,0.788,0.668,0.016,20.8,397396960.0,8.0,253.0
Italy,North America,2.427,0.998,67.5,0.599,0.381,0.53,16.0,430929062.0,8.0,254.0
Nepal,Oceania,2.366,0.922,69.8,0.204,0.446,0.065,24.9,396884154.0,8.0,255.0
Nepal,Oceania,2.29,0.704,79.8,0.751,0.064,0.789,15.0,187769285.0,8.0,256.0
Singapore,Europe,1.649,0.971,77.6,0.702,0.671,0.365,17.0,788245429.0,8.0,257.0
Brazil,Oceania,1.919,0.807,80.9,0.618,0.482,0.288,11.2,1283756483.0,8.0,258.0
Italy,Europe,1.372,0.783,84.4,0.907,0.48,0.381,11.3,1244010951.0,8.0,259.0
India,Europe,2.341,0.579,79.9,0.967,0.363,0.535,23.4,549464819.0,8.0,260.0
Spain,Oceania,2.487,0.731,78.3,0.388,0.512,0.034,5.4,296093462.0,8.0,261.0
USA,North America,1.725,0.506,77.6,0.87,0.48,0.04,20.4,68369627.0,8.0,262.0
Finland,Europe,2.197,0.973,73.9,0.369,0.644,0.336,10.9,816304900.0,8.0,263.0
Italy,South America,2.431,0.51,84.3,0.71,0.047,0.737,13.5,12871601.0,8.0,264.0
Canada,North America,2.276,0.911,82.4,0.569,0.543,0.661,16.6,1290270920.0,8.0,265.0
Nepal,South America,2.329,0.395,76.1,0.94,0.722,0.448,15.7,1242744907.0,8.0,266.0
USA,Asia,2.15,0.971,73.8,0.821,0.089,0.718,10.1,250498911.0,8.0,267.0
Norway,South America,2.341,0.636,83.9,0.577,0.672,0.348,7.2,621459543.0,8.0,268.0
China,Europe,2.382,0.409,77.5,0.272,0.571,0.105,24.7,1315567690.0,8.0,269.0
Brazil,South America,2.221,0.432,74.4,0.655,0.199,0.019,3.4,628491137.0,8.0,270.0
France,Oceania,2.068,0.88,65.3,0.627,0.296,0.399,22.7,993613670.0,8.0,271.0
China,Europe,2.269,0.888,74.2,0.405,0.334,0.389,10.2,1055929334.0,8.0,272.0
Brazil,North America,2.406,0.378,82.0,0.714,0.082,0.734,11.8,1367588381.0,8.0,273.0
Singapore,North America,1.867,0.899,84.4,0.264,0.674,0.247,19.8,891488171.0,8.0,274.0
Spain,Asia,2.006,0.759,83.7,0.984,0.471,0.873,17.2,,8.0,275.0
Sweden,South America,2.244,0.854,81.7,0.243,0.725,0.869,22.1,710492536.0,8.0,276.0
Singapore,North America,1.911,0.605,77.3,0.588,0.304,0.197,8.7,1004676192.0,8.0,277.0
Singapore,South America,2.281,0.865,83.7,0.755,0.728,0.794,15.7,155350719.0,8.0,278.0
