Station_ID,City,PM2.5,PM10,NO2,SO2,CO,Ozone,Temperature,Humidity,Wind_Speed,AQI,AQI_Category,Weather
19,Mumbai,145.8,260.9,19.5,60.6,4.53,198.9,40.6,53.0,18.2,142.0,Satisfactory,Rainy
20,Jaipur,204.8,373.7,115.5,81.8,4.45,17.8,34.9,26.0,15.7,231.0,Poor,Rainy
21,Kolkata,147.9,167.7,,23.7,2.03,104.2,23.7,21.0,15.6,,Good,Cloudy
22,Bengaluru,20.0,241.5,140.6,72.2,2.52,72.9,23.5,54.0,9.3,134.0,Good,Foggy
23,Kolkata,18.1,299.8,90.3,98.5,3.29,165.7,43.1,75.0,16.3,136.0,Good,Cloudy
24,Surat,87.9,260.0,,25.2,3.08,185.7,27.4,63.0,19.2,,Moderate,Foggy
25,Surat,134.4,250.4,166.2,68.4,3.23,47.7,14.2,91.0,17.2,183.0,Satisfactory,Foggy
26,Mumbai,37.9,116.9,109.3,15.6,4.56,175.2,38.7,78.0,5.7,88.0,Good,Foggy
27,Jaipur,213.3,368.2,33.5,66.0,4.41,155.6,24.5,95.0,16.1,205.0,Severe,Cloudy
28,Mumbai,,29.9,18.3,43.2,2.83,121.0,32.6,77.0,15.9,106.0,Very Poor,Sunny
29,Kolkata,154.1,345.6,93.8,76.2,4.14,117.0,11.1,70.0,8.4,197.0,Severe,Foggy
30,Jaipur,202.1,199.9,38.6,59.2,1.19,89.8,20.2,48.0,10.9,146.0,Satisfactory,Sunny
31,Mumbai,143.6,46.8,166.2,80.7,0.53,74.1,27.6,25.0,8.2,118.0,Severe,Cloudy
32,Chennai,75.8,301.0,163.7,69.4,3.87,124.4,29.0,24.0,9.2,180.0,Good,Foggy
33,Hyderabad,152.9,154.8,75.6,10.1,3.0,22.0,33.2,92.0,9.1,127.0,Good,Foggy
34,Kolkata,,205.7,,3.9,0.58,36.2,17.5,38.0,3.5,,Severe,Foggy
35,Ahmedabad,232.6,90.3,48.8,69.2,3.27,32.7,21.6,93.0,2.2,123.0,Good,Rainy
36,Chennai,167.4,298.9,93.8,47.7,3.69,24.4,35.2,24.0,10.1,186.0,Very Poor,Sunny
37,Surat,73.5,391.6,144.9,8.7,4.45,144.8,10.3,83.0,1.4,203.0,Satisfactory,Foggy
38,Bengaluru,273.6,388.5,124.1,27.5,4.84,44.2,26.8,86.0,18.1,262.0,Very Poor,Cloudy
39,Mumbai,182.7,125.3,72.2,13.6,4.68,49.0,35.1,21.0,17.5,126.0,Severe,Rainy
40,Chennai,24.0,143.5,76.4,73.3,3.89,111.8,40.0,48.0,12.7,81.0,Satisfactory,Rainy
41,Hyderabad,123.5,194.7,8.1,71.0,3.73,11.1,37.7,49.0,15.4,108.0,Very Poor,Foggy
42,Jaipur,170.4,341.9,159.6,40.1,2.67,88.2,15.3,45.0,3.5,223.0,Severe,Sunny
43,Delhi,110.7,193.4,28.0,30.0,1.71,98.4,28.2,33.0,15.5,110.0,Satisfactory,Rainy
44,Delhi,224.6,23.8,118.9,22.4,4.04,108.5,14.9,49.0,7.4,122.0,Severe,Cloudy
45,Jaipur,194.5,378.0,158.8,93.5,4.29,60.3,17.6,54.0,3.7,243.0,Satisfactory,Sunny
46,Delhi,286.8,25.6,112.1,42.7,2.46,86.2,25.7,49.0,2.4,141.0,Severe,Cloudy
47,Hyderabad,240.7,12.0,78.4,89.1,1.54,152.0,26.7,64.0,5.9,110.0,Severe,Sunny
48,Ahmedabad,85.1,370.4,67.5,14.7,0.88,143.7,22.4,95.0,13.8,174.0,Good,Cloudy
49,Jaipur,217.2,130.8,140.2,34.9,2.18,150.1,38.2,26.0,13.5,162.0,Satisfactory,Sunny
50,Delhi,281.7,233.7,42.8,61.8,0.38,117.1,28.8,40.0,10.3,186.0,Good,Cloudy
51,Surat,164.7,378.1,108.0,97.6,4.45,189.3,32.8,33.0,10.5,216.0,Very Poor,Sunny
52,Kolkata,197.5,43.4,170.2,27.7,2.98,102.4,19.8,93.0,8.4,137.0,Satisfactory,Rainy
53,Pune,131.1,353.9,13.9,24.1,3.06,50.8,37.0,90.0,19.6,166.0,Satisfactory,Foggy
54,Delhi,283.8,195.0,178.8,18.1,0.62,118.2,23.6,87.0,2.5,219.0,Very Poor,Rainy
55,Chennai,201.4,204.5,18.5,89.1,4.42,5.5,29.5,67.0,8.6,141.0,Satisfactory,Rainy
56,Chennai,205.0,368.2,55.5,67.0,3.68,148.8,20.1,87.0,10.7,209.0,Satisfactory,Sunny
57,Delhi,29.4,174.2,93.5,63.8,0.7,132.5,39.4,21.0,0.8,99.0,Very Poor,Sunny
58,Pune,164.3,297.7,42.5,7.2,4.83,11.6,21.8,40.0,1.0,168.0,Very Poor,Cloudy
59,Pune,242.2,233.3,131.6,97.8,3.39,11.5,18.0,35.0,1.4,202.0,Moderate,Cloudy
60,Chennai,248.4,28.3,21.9,39.9,3.04,13.8,32.2,80.0,14.8,99.0,Severe,Cloudy
61,Kolkata,202.1,97.4,140.9,39.2,4.2,117.3,25.1,62.0,10.9,146.0,Satisfactory,Sunny
62,Mumbai,16.1,176.4,106.8,97.0,2.72,182.0,22.9,70.0,8.1,99.0,Satisfactory,Cloudy
63,Delhi,197.4,324.5,41.3,44.2,3.09,114.0,18.4,63.0,18.2,187.0,Moderate,Rainy
64,Ahmedabad,68.0,147.8,62.8,79.0,1.43,126.3,11.3,77.0,16.3,92.0,Very Poor,Cloudy
65,Ahmedabad,240.2,132.6,14.3,71.6,0.38,132.8,31.4,62.0,18.7,129.0,Moderate,Rainy
66,Pune,218.3,163.3,43.3,26.5,4.65,146.6,25.5,39.0,9.2,141.0,Very Poor,Sunny
67,Surat,100.3,62.6,5.3,52.9,3.97,44.8,33.1,78.0,10.4,56.0,Very Poor,Cloudy
68,Surat,112.1,211.0,21.3,71.7,4.41,129.2,34.8,35.0,1.6,114.0,Satisfactory,Foggy
69,Hyderabad,174.0,360.0,14.8,90.7,3.16,54.5,,74.0,12.3,182.0,Good,Sunny
70,Mumbai,189.9,63.7,6.2,21.6,2.13,147.3,22.1,72.0,9.1,86.0,Severe,Cloudy
71,Hyderabad,183.5,341.9,178.2,27.0,1.07,105.9,28.7,26.0,12.5,234.0,Severe,Foggy
72,Jaipur,6.1,55.7,158.4,87.3,2.65,21.9,31.1,32.0,16.1,73.0,Severe,Foggy
73,Pune,213.8,73.1,97.8,23.2,3.98,70.2,19.6,63.0,15.1,128.0,Good,Rainy
74,Ahmedabad,102.8,90.7,7.2,36.0,4.0,54.8,31.7,30.0,1.7,66.0,Good,Cloudy
75,Delhi,122.8,290.6,22.8,70.3,2.78,72.3,24.1,81.0,18.1,145.0,Severe,Sunny
76,Mumbai,149.8,79.6,84.9,33.4,1.14,139.5,30.9,36.0,11.5,104.0,Severe,Foggy
77,Mumbai,38.9,259.5,171.8,85.9,0.66,67.0,19.5,41.0,7.2,156.0,Good,Cloudy
78,Jaipur,93.0,273.9,84.8,2.0,2.78,93.8,26.8,42.0,8.5,150.0,Very Poor,Sunny
79,Bengaluru,185.1,361.3,67.6,35.4,4.9,193.2,35.1,73.0,3.6,204.0,Moderate,Foggy
80,Jaipur,239.5,28.5,40.3,50.0,2.65,71.0,40.3,48.0,0.9,102.0,Moderate,Foggy
81,Kolkata,140.3,348.5,116.2,97.9,3.94,174.0,40.5,30.0,17.7,201.0,Severe,Cloudy
82,Jaipur,140.0,254.5,173.5,4.0,1.89,196.4,25.4,80.0,9.1,189.0,Good,Foggy
83,Chennai,199.6,304.0,116.5,69.4,3.91,189.0,38.2,58.0,13.9,206.0,Moderate,Sunny
84,Hyderabad,173.9,289.4,7.0,83.0,3.81,136.2,32.1,93.0,3.4,156.0,Satisfactory,Foggy
85,Pune,158.9,128.0,163.4,15.0,1.91,71.0,17.9,34.0,10.8,150.0,Severe,Cloudy
86,Jaipur,181.8,262.6,176.5,45.4,0.67,171.9,10.8,49.0,19.7,206.0,Good,Foggy
87,Surat,252.9,247.1,121.2,25.1,0.44,56.2,42.1,43.0,11.8,207.0,Moderate,Rainy
88,Bengaluru,28.9,368.3,54.7,23.1,0.36,8.5,41.2,72.0,13.6,150.0,Moderate,Sunny
89,Mumbai,272.5,119.9,179.3,41.0,1.41,172.6,14.1,46.0,14.2,190.0,Good,Cloudy
90,Surat,186.7,328.5,134.9,95.7,0.72,184.7,25.8,86.0,3.9,216.0,Poor,Sunny
91,Hyderabad,125.9,287.5,57.7,59.4,1.33,191.5,22.5,43.0,14.5,157.0,Satisfactory,Rainy
92,Bengaluru,264.1,127.0,44.4,24.2,4.62,195.5,22.2,,0.6,145.0,Severe,Sunny
93,Chennai,19.3,210.8,165.2,72.7,1.65,106.6,21.4,76.0,8.9,131.0,Good,Sunny
94,Delhi,271.7,140.7,178.1,92.4,0.74,29.7,36.7,28.0,1.5,196.0,Moderate,Cloudy
95,Surat,112.4,389.0,66.1,80.9,2.89,156.7,31.4,70.0,3.2,189.0,Moderate,Rainy
96,Ahmedabad,261.3,137.1,55.5,56.0,4.56,21.9,33.7,77.0,19.1,151.0,Very Poor,Rainy
97,Hyderabad,72.0,49.2,98.9,86.9,1.8,54.1,33.2,46.0,0.8,73.0,Severe,Sunny
98,Delhi,30.1,193.2,104.4,74.0,1.35,106.1,11.6,61.0,0.9,109.0,Severe,Sunny
99,Bengaluru,215.7,217.8,39.8,80.1,1.95,196.7,28.4,33.0,7.6,157.0,Moderate,Foggy
100,Pune,281.4,69.9,14.4,4.6,4.4,30.9,18.3,22.0,8.8,121.0,Poor,Rainy
101,Delhi,274.4,82.1,81.7,10.3,2.4,127.8,20.2,75.0,12.0,146.0,Satisfactory,Sunny
102,Chennai,247.1,321.3,124.5,29.5,3.2,80.0,42.2,35.0,1.9,230.0,Moderate,Cloudy
103,Kolkata,24.3,214.3,114.7,95.8,4.24,38.7,11.8,42.0,9.0,117.0,Poor,Foggy
104,Chennai,141.7,145.6,43.7,42.5,3.05,74.3,37.2,22.0,8.1,110.0,Very Poor,Rainy
105,Mumbai,181.8,363.7,77.5,88.8,1.29,52.1,44.6,65.0,15.5,207.0,Good,Sunny
106,Delhi,289.7,186.9,97.5,53.0,3.81,104.9,10.8,92.0,13.3,191.0,Poor,Foggy
107,Kolkata,129.0,13.6,178.6,2.4,5.0,107.6,35.2,72.0,18.1,107.0,Satisfactory,Foggy
108,Chennai,138.1,105.5,47.5,82.2,1.79,86.8,24.6,93.0,12.4,97.0,Severe,Cloudy
109,Delhi,129.4,134.3,25.0,12.2,4.71,165.1,12.0,37.0,15.9,96.0,Good,Rainy
110,Hyderabad,46.3,260.3,8.7,72.2,4.86,24.2,20.0,62.0,12.3,105.0,Very Poor,Foggy
111,Kolkata,77.0,310.5,22.8,38.9,2.21,74.6,40.0,20.0,16.5,136.0,Very Poor,Foggy
112,Ahmedabad,,174.3,,5.0,2.42,65.4,35.2,78.0,15.8,,Severe,Sunny
113,Bengaluru,206.2,32.6,113.7,97.1,0.57,85.0,33.7,34.0,3.8,117.0,Moderate,Rainy
114,Surat,179.0,44.0,160.8,45.7,1.55,25.2,29.0,59.0,14.1,127.0,Very Poor,Rainy
115,Delhi,84.4,308.8,125.1,2.2,1.2,33.2,10.3,90.0,18.9,172.0,Poor,Sunny
116,Chennai,132.8,350.6,141.5,74.4,1.82,191.5,39.1,80.0,0.8,208.0,Very Poor,Rainy
117,Kolkata,230.8,216.3,40.1,19.9,3.92,10.6,10.5,80.0,14.8,162.0,Good,Foggy
118,Mumbai,216.2,26.6,122.1,77.8,0.86,106.3,19.0,46.0,16.1,121.0,Good,Cloudy
119,Hyderabad,60.6,280.5,87.2,27.1,0.27,170.3,43.3,45.0,5.0,142.0,Good,Cloudy
120,Bengaluru,116.6,,117.4,37.9,1.31,184.6,28.7,31.0,1.5,125.0,Moderate,Rainy
121,Delhi,118.3,297.0,158.3,89.5,1.26,37.5,19.2,55.0,8.8,191.0,Poor,Cloudy
122,Chennai,172.7,134.2,107.9,22.1,1.08,152.3,38.8,63.0,8.1,138.0,Severe,Sunny
123,Delhi,191.0,253.3,120.3,85.7,1.56,74.1,25.0,33.0,19.9,188.0,Severe,Foggy
124,Hyderabad,161.1,78.3,129.0,81.2,2.82,78.2,22.2,62.0,13.7,122.0,Satisfactory,Foggy
125,Surat,104.6,120.4,141.3,45.3,2.37,167.5,15.4,43.0,2.1,122.0,Very Poor,Cloudy
126,Mumbai,23.5,311.9,166.8,80.1,1.11,89.4,20.9,48.0,4.9,167.0,Very Poor,Sunny
127,Mumbai,41.7,82.5,72.8,3.9,1.13,181.7,21.3,81.0,10.7,65.0,Severe,Rainy
128,Hyderabad,222.7,340.4,147.1,73.4,1.27,162.7,30.9,51.0,9.7,236.0,Moderate,Cloudy
129,Chennai,81.0,297.5,81.1,84.4,4.03,148.6,13.9,69.0,10.8,153.0,Very Poor,Rainy
130,Hyderabad,51.9,159.8,44.6,96.1,0.99,57.2,20.5,81.0,3.7,85.0,Satisfactory,Rainy
131,Bengaluru,88.9,143.8,128.1,64.2,1.27,32.9,43.7,78.0,13.2,120.0,Severe,Foggy
132,Mumbai,163.5,306.6,37.3,83.2,3.04,83.9,39.9,44.0,18.3,169.0,Severe,Rainy
133,Chennai,23.4,82.1,71.0,2.8,4.19,71.1,26.7,94.0,16.1,58.0,Moderate,Foggy
134,Bengaluru,145.7,269.9,127.5,67.8,2.95,123.4,24.8,94.0,1.6,181.0,Moderate,Rainy
135,Mumbai,228.3,369.1,111.7,95.1,1.47,5.1,33.0,45.0,2.8,236.0,Severe,Cloudy
136,Mumbai,197.2,77.7,88.2,48.5,4.8,142.6,36.3,25.0,16.4,121.0,Good,Sunny
137,Bengaluru,38.0,78.8,166.5,60.2,4.2,88.4,10.3,48.0,1.1,94.0,Severe,Cloudy
138,Hyderabad,226.6,321.6,50.9,54.8,3.96,118.8,23.6,78.0,7.0,199.0,Moderate,Sunny
139,Pune,248.5,242.8,120.2,56.9,4.25,162.3,39.6,26.0,14.4,203.0,Good,Rainy
140,Chennai,168.5,79.1,140.5,40.9,1.76,180.6,15.8,44.0,0.6,129.0,Satisfactory,Foggy
141,Mumbai,29.9,265.3,49.9,75.6,0.97,59.9,16.7,65.0,7.8,115.0,Poor,Rainy
142,Ahmedabad,45.3,336.5,18.7,27.3,0.88,145.9,24.1,37.0,12.1,133.0,Satisfactory,Cloudy
143,Mumbai,128.3,210.0,166.6,92.2,0.94,60.4,41.4,72.0,18.8,168.0,Severe,Sunny
144,Kolkata,299.5,93.5,167.0,74.6,4.52,126.3,42.8,89.0,2.2,186.0,Severe,Rainy
145,Surat,170.0,167.1,41.4,34.5,4.98,14.6,15.9,81.0,4.7,126.0,Poor,Cloudy
146,Kolkata,187.2,66.0,29.7,83.4,0.5,175.5,16.7,38.0,8.9,94.0,Satisfactory,Rainy
147,Ahmedabad,275.7,392.9,147.1,6.7,0.61,40.7,38.9,79.0,13.5,271.0,Satisfactory,Sunny
148,Chennai,66.5,104.1,58.8,92.1,1.6,188.3,31.6,85.0,17.1,76.0,Moderate,Foggy
149,Chennai,140.3,294.7,63.8,60.8,1.77,181.6,25.5,53.0,12.0,166.0,Severe,Foggy
150,Bengaluru,28.3,275.6,106.4,69.5,0.76,122.8,33.7,58.0,12.8,136.0,Good,Foggy
151,Surat,142.7,147.2,48.9,18.5,2.73,93.0,25.7,78.0,13.6,112.0,Very Poor,Sunny
152,Ahmedabad,101.6,264.0,109.8,75.2,4.47,52.2,24.6,47.0,18.0,158.0,Poor,Cloudy
153,Ahmedabad,150.9,273.8,95.9,20.9,3.25,39.7,11.8,65.0,2.7,173.0,Severe,Foggy
154,Ahmedabad,139.5,366.8,82.9,8.3,1.65,155.5,22.6,,13.5,196.0,Moderate,Rainy
155,Pune,136.0,396.9,107.8,34.2,3.16,196.5,12.6,77.0,15.2,213.0,Good,Cloudy
156,Bengaluru,35.3,97.8,52.6,20.8,0.65,28.5,15.0,38.0,8.7,61.0,Satisfactory,Sunny
157,Surat,139.6,166.9,107.9,42.0,4.17,148.2,25.0,20.0,7.4,138.0,Satisfactory,Rainy
158,Mumbai,55.9,243.2,164.9,29.5,0.54,179.7,15.6,27.0,15.4,154.0,Poor,Foggy
159,Surat,99.9,356.7,106.1,15.8,3.58,65.0,36.5,31.0,14.7,187.0,Very Poor,Cloudy
160,Pune,115.8,374.9,122.6,47.9,3.25,43.7,20.0,36.0,10.3,204.0,Very Poor,Sunny
161,Pune,91.4,144.8,74.5,72.2,0.86,190.7,37.4,77.0,3.3,103.0,Moderate,Cloudy
162,Delhi,54.5,272.9,66.9,65.4,0.99,79.7,32.3,70.0,18.6,131.0,Very Poor,Rainy
163,Delhi,151.4,35.4,18.0,53.2,0.85,136.3,21.6,69.0,7.8,68.0,Satisfactory,Cloudy
164,Hyderabad,88.1,60.5,103.7,57.4,0.25,139.3,40.1,71.0,13.1,84.0,Good,Sunny
165,Jaipur,9.8,138.0,87.6,2.1,4.62,21.2,44.8,44.0,16.5,78.0,Poor,Sunny
166,Kolkata,30.6,41.5,102.7,11.1,4.1,189.4,21.6,62.0,12.5,58.0,Moderate,Foggy
167,Ahmedabad,142.0,32.5,163.3,45.5,3.29,128.4,41.5,39.0,15.3,112.0,Good,Rainy
168,Hyderabad,211.7,34.5,125.3,7.9,2.8,71.6,12.8,69.0,7.3,123.0,Moderate,Cloudy
169,Mumbai,213.1,233.2,89.5,40.6,1.96,28.5,23.0,54.0,17.8,178.0,Good,Rainy
170,Chennai,172.7,33.4,177.0,19.0,2.23,102.6,16.3,66.0,10.7,127.0,Poor,Sunny
171,Chennai,58.6,134.5,56.2,44.6,4.33,5.0,13.1,69.0,14.7,83.0,Good,Rainy
172,Surat,136.3,250.2,56.3,55.1,0.26,89.1,34.3,47.0,2.1,147.0,Severe,Foggy
173,Bengaluru,280.8,104.5,126.0,64.3,3.01,113.6,43.4,66.0,5.2,170.0,Good,Foggy
174,Delhi,266.2,290.9,166.0,49.0,0.39,118.5,41.7,29.0,9.8,241.0,Moderate,Sunny
175,Mumbai,16.3,80.9,87.4,87.3,2.22,196.5,41.7,58.0,6.0,61.0,Very Poor,Sunny
176,Surat,45.7,305.6,127.9,43.3,2.8,56.6,24.2,37.0,7.9,159.0,Severe,Cloudy
177,Jaipur,226.6,120.8,55.8,64.6,4.24,139.0,27.3,71.0,15.6,134.0,Good,Sunny
178,Mumbai,,31.4,128.2,40.1,2.66,57.1,13.0,53.0,0.9,103.0,Moderate,Cloudy
179,Bengaluru,296.5,86.1,135.7,23.2,4.86,171.0,36.2,57.0,15.7,172.0,Good,Cloudy
180,Chennai,43.4,174.7,65.5,79.3,3.03,67.7,29.8,48.0,6.8,94.0,Poor,Foggy
181,Pune,95.9,14.6,31.9,90.1,3.55,194.0,34.5,28.0,12.4,47.0,Poor,Sunny
182,Chennai,292.1,229.4,72.1,63.9,1.89,189.3,41.2,,18.8,197.0,Satisfactory,Cloudy
183,Surat,68.0,36.2,62.8,91.4,1.67,65.1,42.8,24.0,15.8,55.0,Good,Foggy
184,Bengaluru,21.0,113.2,9.6,71.2,3.96,125.6,10.1,83.0,14.5,47.0,Good,Sunny
185,Jaipur,129.9,398.0,102.0,32.0,1.98,90.4,18.8,89.0,2.1,209.0,Very Poor,Rainy
186,Bengaluru,280.5,274.6,151.3,85.5,3.07,58.3,35.9,70.0,10.1,235.0,Poor,Rainy
187,Pune,182.8,367.8,104.0,47.0,0.36,80.4,28.7,26.0,16.1,218.0,Poor,Sunny
188,Mumbai,26.9,288.1,50.9,64.5,2.13,32.2,31.6,42.0,12.3,121.0,Satisfactory,Cloudy
189,Chennai,202.2,88.9,41.9,46.9,0.61,66.8,41.3,36.0,14.9,111.0,Good,Sunny
190,Delhi,19.8,152.6,178.6,6.1,3.91,77.2,42.3,31.0,3.5,117.0,Very Poor,Sunny
191,Jaipur,35.4,97.8,134.6,56.9,3.54,149.0,24.8,33.0,16.1,89.0,Very Poor,Cloudy
192,Delhi,144.9,289.1,6.4,67.3,3.35,79.4,27.6,65.0,8.8,146.0,Moderate,Rainy
193,Delhi,40.2,256.6,6.4,27.7,3.23,34.6,30.2,74.0,10.3,101.0,Poor,Rainy
194,Hyderabad,152.8,340.1,130.5,68.3,1.9,42.6,11.4,70.0,8.9,207.0,Moderate,Foggy
195,Surat,19.9,,113.1,12.1,1.78,14.2,24.7,25.0,4.1,82.0,Severe,Foggy
196,Pune,266.9,22.1,158.0,62.0,2.97,131.8,39.3,28.0,14.4,149.0,Severe,Sunny
197,Jaipur,11.4,306.5,24.1,37.5,2.08,149.0,14.6,28.0,4.8,114.0,Poor,Sunny
198,Kolkata,173.5,173.5,11.3,16.6,1.61,34.6,44.4,91.0,10.7,119.0,Very Poor,Rainy
199,Mumbai,202.7,14.9,84.9,25.2,4.03,53.6,19.2,79.0,11.6,100.0,Satisfactory,Rainy
200,Pune,211.6,122.9,71.8,43.5,3.54,191.0,38.0,41.0,13.3,135.0,Severe,Foggy
201,Pune,85.9,86.1,71.0,32.8,2.63,40.7,34.7,56.0,4.5,81.0,Good,Rainy
202,Pune,117.5,380.8,92.0,29.5,1.87,181.5,26.3,74.0,8.5,196.0,Poor,Foggy
203,Ahmedabad,246.9,267.0,30.6,52.8,1.06,72.7,28.9,87.0,7.3,181.0,Severe,Rainy
204,Pune,30.6,106.5,124.5,43.0,4.96,178.7,12.2,24.0,18.2,87.0,Very Poor,Rainy
205,Bengaluru,71.4,103.0,130.3,28.4,2.09,72.9,38.4,58.0,14.8,101.0,Severe,Rainy
206,Pune,44.3,72.5,85.7,95.4,3.1,64.5,35.9,53.0,9.8,67.0,Moderate,Sunny
207,Bengaluru,9.9,333.3,114.5,40.5,0.47,14.0,10.0,27.0,10.6,152.0,Good,Sunny
208,Mumbai,32.5,197.8,177.5,38.9,4.63,6.2,42.4,90.0,13.2,135.0,Very Poor,Foggy
209,Bengaluru,214.8,297.9,8.7,95.3,3.15,196.8,13.3,31.0,2.0,173.0,Poor,Foggy
210,Hyderabad,164.1,172.6,,25.2,4.6,161.7,30.0,35.0,14.0,,Good,Sunny
211,Delhi,190.1,43.4,55.2,63.3,4.79,104.8,43.7,,11.5,96.0,Very Poor,Foggy
212,Bengaluru,215.8,213.5,140.1,88.5,3.6,44.7,33.6,95.0,3.4,189.0,Very Poor,Sunny
213,Mumbai,38.9,136.8,129.5,96.8,2.73,105.0,33.3,69.0,16.8,101.0,Satisfactory,Foggy
214,Pune,172.3,346.3,166.7,37.7,1.17,194.3,31.2,46.0,15.5,228.0,Severe,Sunny
215,Hyderabad,254.6,123.1,118.2,69.7,2.05,85.5,17.1,26.0,12.2,165.0,Poor,Rainy
216,Bengaluru,181.1,177.3,24.7,21.2,2.69,102.0,26.4,72.0,8.1,127.0,Severe,Sunny
217,Pune,219.2,243.0,8.8,48.8,3.2,119.3,45.0,60.0,6.4,157.0,Very Poor,Cloudy
218,Surat,146.7,14.7,92.0,83.1,2.72,141.5,32.1,73.0,10.1,84.0,Moderate,Sunny
219,Bengaluru,93.3,372.2,123.3,30.7,2.55,27.2,14.7,,1.3,196.0,Very Poor,Sunny
220,Jaipur,126.6,43.8,43.9,63.9,1.31,28.1,31.1,52.0,7.7,71.0,Severe,Foggy
221,Ahmedabad,32.6,,17.5,72.2,4.26,29.7,36.1,29.0,4.7,34.0,Severe,Sunny
222,Ahmedabad,195.9,64.8,149.8,6.5,0.51,78.0,29.1,65.0,18.3,136.0,Very Poor,Cloudy
223,Jaipur,296.1,264.2,172.4,41.5,3.4,59.8,30.4,90.0,8.8,244.0,Severe,Sunny
224,Jaipur,166.7,139.9,17.1,52.7,4.77,99.4,19.8,57.0,17.2,107.0,Moderate,Foggy
225,Pune,16.2,,142.0,3.0,4.37,130.1,18.1,41.0,3.8,166.0,Severe,Rainy
226,Surat,143.3,125.5,174.9,85.6,4.06,142.9,26.5,63.0,13.5,147.0,Good,Cloudy
227,Kolkata,158.4,220.3,123.0,39.8,1.78,112.1,40.5,80.0,7.0,167.0,Moderate,Rainy
228,Hyderabad,11.0,83.2,53.0,53.0,0.5,69.0,28.8,82.0,13.0,49.0,Satisfactory,Foggy
229,Ahmedabad,184.2,180.2,62.4,58.8,0.33,171.6,35.8,93.0,13.2,142.0,Satisfactory,Foggy
230,Mumbai,199.1,212.4,7.3,15.8,2.87,39.0,44.6,67.0,12.6,139.0,Poor,Foggy
231,Delhi,120.6,157.0,51.2,15.7,0.29,194.1,26.9,59.0,3.7,109.0,Good,Cloudy
232,Mumbai,294.2,348.9,6.2,55.7,0.69,192.0,36.9,95.0,2.7,216.0,Moderate,Rainy
233,Mumbai,238.7,375.5,8.2,64.5,1.69,146.0,16.5,84.0,7.4,207.0,Severe,Foggy
234,Hyderabad,215.0,181.2,111.1,33.4,2.75,30.7,19.0,95.0,9.8,169.0,Poor,Sunny
235,Kolkata,237.9,244.4,60.5,24.2,1.96,27.8,29.1,57.0,10.1,180.0,Moderate,Sunny
236,Pune,153.4,216.5,150.2,84.2,2.46,195.9,43.7,75.0,4.0,173.0,Very Poor,Foggy
237,Mumbai,263.4,,142.8,89.7,1.17,88.1,39.3,79.0,6.9,188.0,Poor,Sunny
238,Ahmedabad,232.6,349.1,57.1,87.5,3.21,195.2,31.4,91.0,15.2,212.0,Poor,Cloudy
239,Kolkata,45.6,184.6,65.4,84.1,2.9,180.1,15.7,23.0,3.4,98.0,Moderate,Rainy
240,Jaipur,200.1,388.8,73.7,6.0,2.39,82.5,16.9,93.0,2.4,220.0,Poor,Cloudy
241,Pune,111.2,222.0,117.7,21.0,1.02,64.8,30.2,83.0,13.6,150.0,Severe,Sunny
